Displaying
bc:left_bdc | objectfunc:right_down_central | Vforce:1.00000 | delta_x:0.00500 | volfrac:0.50000
Emin:66.66667 | E0:13333.33333 | gamma:0.000000 | tau:0.00500 | lambda:1.00000 | w:1.00000 | gamma1:3.00000 | gamma2:1.50000
 It.:    2 ||Obj.:  0.043846 ||Vol.:  0.500 ||ch.:100.000 ||r.:10000000000.000 
 It.:    3 ||Obj.:  0.039739 ||Vol.:  0.500 ||ch.: 27.000 ||r.:10000000000.000 
 It.:    4 ||Obj.:  0.035454 ||Vol.:  0.500 ||ch.: 30.000 ||r.:10000000000.000 
 It.:    5 ||Obj.:  0.028952 ||Vol.:  0.500 ||ch.: 46.000 ||r.:10000000000.000 
 It.:    6 ||Obj.:  0.016970 ||Vol.:  0.500 ||ch.: 69.000 ||r.:10000000000.000 
 It.:    7 ||Obj.:  0.016473 ||Vol.:  0.500 ||ch.: 16.000 ||r.:10000000000.000 
 It.:    8 ||Obj.:  0.015935 ||Vol.:  0.500 ||ch.: 34.000 ||r.:10000000000.000 
 It.:    9 ||Obj.:  0.015613 ||Vol.:  0.500 ||ch.: 20.000 ||r.:10000000000.000 
 It.:   10 ||Obj.:  0.015355 ||Vol.:  0.500 ||ch.:  6.000 ||r.:10000000000.000 
 It.:   11 ||Obj.:  0.015160 ||Vol.:  0.500 ||ch.:  6.000 ||r.:10000000000.000 
 It.:   12 ||Obj.:  0.014983 ||Vol.:  0.500 ||ch.:  6.000 ||r.:10000000000.000 
 It.:   13 ||Obj.:  0.014812 ||Vol.:  0.500 ||ch.:  6.000 ||r.:10000000000.000 
 It.:   14 ||Obj.:  0.014672 ||Vol.:  0.500 ||ch.:  6.000 ||r.:10000000000.000 
 It.:   15 ||Obj.:  0.014534 ||Vol.:  0.500 ||ch.:  6.000 ||r.:10000000000.000 
 It.:   16 ||Obj.:  0.014379 ||Vol.:  0.500 ||ch.:  6.000 ||r.:10000000000.000 
 It.:   17 ||Obj.:  0.014256 ||Vol.:  0.500 ||ch.:  6.000 ||r.:10000000000.000 
 It.:   18 ||Obj.:  0.014131 ||Vol.:  0.500 ||ch.:  7.000 ||r.:10000000000.000 
 It.:   19 ||Obj.:  0.014002 ||Vol.:  0.500 ||ch.:  7.000 ||r.:10000000000.000 
 It.:   20 ||Obj.:  0.013891 ||Vol.:  0.500 ||ch.:  9.000 ||r.:10000000000.000 
 It.:   21 ||Obj.:  0.013791 ||Vol.:  0.500 ||ch.:  6.000 ||r.:10000000000.000 
 It.:   22 ||Obj.:  0.013686 ||Vol.:  0.500 ||ch.:  9.000 ||r.:10000000000.000 
 It.:   23 ||Obj.:  0.013576 ||Vol.:  0.500 ||ch.:  7.000 ||r.:10000000000.000 
 It.:   24 ||Obj.:  0.013476 ||Vol.:  0.500 ||ch.:  7.000 ||r.:10000000000.000 
 It.:   25 ||Obj.:  0.013379 ||Vol.:  0.500 ||ch.:  8.000 ||r.:10000000000.000 
 It.:   26 ||Obj.:  0.013289 ||Vol.:  0.500 ||ch.:  7.000 ||r.:10000000000.000 
 It.:   27 ||Obj.:  0.013188 ||Vol.:  0.500 ||ch.:  9.000 ||r.:10000000000.000 
 It.:   28 ||Obj.:  0.013098 ||Vol.:  0.500 ||ch.:  8.000 ||r.:10000000000.000 
 It.:   29 ||Obj.:  0.013010 ||Vol.:  0.500 ||ch.:  8.000 ||r.:10000000000.000 
 It.:   30 ||Obj.:  0.012910 ||Vol.:  0.500 ||ch.:  8.000 ||r.:10000000000.000 
 It.:   31 ||Obj.:  0.012806 ||Vol.:  0.500 ||ch.:  9.000 ||r.:10000000000.000 
 It.:   32 ||Obj.:  0.012686 ||Vol.:  0.500 ||ch.:  9.000 ||r.:10000000000.000 
 It.:   33 ||Obj.:  0.012546 ||Vol.:  0.500 ||ch.: 12.000 ||r.:10000000000.000 
 It.:   34 ||Obj.:  0.012296 ||Vol.:  0.500 ||ch.: 17.000 ||r.:10000000000.000 
 It.:   35 ||Obj.:  0.011340 ||Vol.:  0.500 ||ch.: 21.000 ||r.:10000000000.000 
 It.:   36 ||Obj.:  0.010282 ||Vol.:  0.500 ||ch.: 26.000 ||r.:10000000000.000 
 It.:   37 ||Obj.:  0.009879 ||Vol.:  0.500 ||ch.: 12.000 ||r.:10000000000.000 
 It.:   38 ||Obj.:  0.009495 ||Vol.:  0.500 ||ch.: 18.000 ||r.:10000000000.000 
 It.:   39 ||Obj.:  0.008897 ||Vol.:  0.500 ||ch.: 11.000 ||r.:10000000000.000 
 It.:   40 ||Obj.:  0.008609 ||Vol.:  0.500 ||ch.: 11.000 ||r.:10000000000.000 
 It.:   41 ||Obj.:  0.008370 ||Vol.:  0.500 ||ch.:  9.000 ||r.:10000000000.000 
 It.:   42 ||Obj.:  0.008155 ||Vol.:  0.500 ||ch.:  8.000 ||r.:10000000000.000 
 It.:   43 ||Obj.:  0.007948 ||Vol.:  0.500 ||ch.:  7.000 ||r.:10000000000.000 
 It.:   44 ||Obj.:  0.007748 ||Vol.:  0.500 ||ch.:  8.000 ||r.:10000000000.000 
 It.:   45 ||Obj.:  0.007570 ||Vol.:  0.500 ||ch.:  7.000 ||r.:10000000000.000 
 It.:   46 ||Obj.:  0.007399 ||Vol.:  0.500 ||ch.:  7.000 ||r.:10000000000.000 
 It.:   47 ||Obj.:  0.007243 ||Vol.:  0.500 ||ch.:  7.000 ||r.:10000000000.000 
 It.:   48 ||Obj.:  0.007097 ||Vol.:  0.500 ||ch.:  7.000 ||r.:10000000000.000 
 It.:   49 ||Obj.:  0.006961 ||Vol.:  0.500 ||ch.:  7.000 ||r.:10000000000.000 
 It.:   50 ||Obj.:  0.006830 ||Vol.:  0.500 ||ch.:  7.000 ||r.:10000000000.000 
 It.:   51 ||Obj.:  0.006709 ||Vol.:  0.500 ||ch.:  6.000 ||r.:10000000000.000 
 It.:   52 ||Obj.:  0.006597 ||Vol.:  0.500 ||ch.:  6.000 ||r.:10000000000.000 
 It.:   53 ||Obj.:  0.006489 ||Vol.:  0.500 ||ch.:  6.000 ||r.:10000000000.000 
 It.:   54 ||Obj.:  0.006383 ||Vol.:  0.500 ||ch.:  8.000 ||r.:10000000000.000 
 It.:   55 ||Obj.:  0.006270 ||Vol.:  0.500 ||ch.: 10.000 ||r.:10000000000.000 
 It.:   56 ||Obj.:  0.006183 ||Vol.:  0.500 ||ch.:  7.000 ||r.:10000000000.000 
 It.:   57 ||Obj.:  0.006101 ||Vol.:  0.500 ||ch.:  9.000 ||r.:10000000000.000 
 It.:   58 ||Obj.:  0.006028 ||Vol.:  0.500 ||ch.:  6.000 ||r.:10000000000.000 
 It.:   59 ||Obj.:  0.005945 ||Vol.:  0.500 ||ch.:  8.000 ||r.:10000000000.000 
 It.:   60 ||Obj.:  0.005882 ||Vol.:  0.500 ||ch.:  7.000 ||r.:10000000000.000 
 It.:   61 ||Obj.:  0.005818 ||Vol.:  0.500 ||ch.:  5.000 ||r.:10000000000.000 
 It.:   62 ||Obj.:  0.005779 ||Vol.:  0.500 ||ch.:  5.000 ||r.:10000000000.000 
 It.:   63 ||Obj.:  0.005743 ||Vol.:  0.500 ||ch.:  4.000 ||r.:10000000000.000 
 It.:   64 ||Obj.:  0.005708 ||Vol.:  0.500 ||ch.:  4.000 ||r.:10000000000.000 
 It.:   65 ||Obj.:  0.005678 ||Vol.:  0.500 ||ch.:  4.000 ||r.:10000000000.000 
 It.:   66 ||Obj.:  0.005653 ||Vol.:  0.500 ||ch.:  4.000 ||r.:10000000000.000 
 It.:   67 ||Obj.:  0.005627 ||Vol.:  0.500 ||ch.:  4.000 ||r.:10000000000.000 
 It.:   68 ||Obj.:  0.005605 ||Vol.:  0.500 ||ch.:  4.000 ||r.:10000000000.000 
 It.:   69 ||Obj.:  0.005585 ||Vol.:  0.500 ||ch.:  4.000 ||r.:10000000000.000 
 It.:   70 ||Obj.:  0.005565 ||Vol.:  0.500 ||ch.:  4.000 ||r.:10000000000.000 
 It.:   71 ||Obj.:  0.005546 ||Vol.:  0.500 ||ch.:  4.000 ||r.:10000000000.000 
 It.:   72 ||Obj.:  0.005528 ||Vol.:  0.500 ||ch.:  4.000 ||r.:10000000000.000 
 It.:   73 ||Obj.:  0.005512 ||Vol.:  0.500 ||ch.:  4.000 ||r.:10000000000.000 
 It.:   74 ||Obj.:  0.005497 ||Vol.:  0.500 ||ch.:  4.000 ||r.:10000000000.000 
 It.:   75 ||Obj.:  0.005483 ||Vol.:  0.500 ||ch.:  4.000 ||r.:10000000000.000 
 It.:   76 ||Obj.:  0.005469 ||Vol.:  0.500 ||ch.:  3.000 ||r.:10000000000.000 
 It.:   77 ||Obj.:  0.005457 ||Vol.:  0.500 ||ch.:  3.000 ||r.:10000000000.000 
 It.:   78 ||Obj.:  0.005445 ||Vol.:  0.500 ||ch.:  4.000 ||r.:10000000000.000 
 It.:   79 ||Obj.:  0.005434 ||Vol.:  0.500 ||ch.:  3.000 ||r.:10000000000.000 
 It.:   80 ||Obj.:  0.005423 ||Vol.:  0.500 ||ch.:  3.000 ||r.:10000000000.000 
 It.:   81 ||Obj.:  0.005412 ||Vol.:  0.500 ||ch.:  3.000 ||r.:10000000000.000 
 It.:   82 ||Obj.:  0.005403 ||Vol.:  0.500 ||ch.:  4.000 ||r.:10000000000.000 
 It.:   83 ||Obj.:  0.005393 ||Vol.:  0.500 ||ch.:  3.000 ||r.:10000000000.000 
 It.:   84 ||Obj.:  0.005384 ||Vol.:  0.500 ||ch.:  3.000 ||r.:10000000000.000 
 It.:   85 ||Obj.:  0.005375 ||Vol.:  0.500 ||ch.:  4.000 ||r.:10000000000.000 
 It.:   86 ||Obj.:  0.005367 ||Vol.:  0.500 ||ch.:  3.000 ||r.:10000000000.000 
 It.:   87 ||Obj.:  0.005358 ||Vol.:  0.500 ||ch.:  4.000 ||r.:10000000000.000 
 It.:   88 ||Obj.:  0.005352 ||Vol.:  0.500 ||ch.:  3.000 ||r.:10000000000.000 
 It.:   89 ||Obj.:  0.005346 ||Vol.:  0.500 ||ch.:  3.000 ||r.:10000000000.000 
 It.:   90 ||Obj.:  0.005339 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:   91 ||Obj.:  0.005332 ||Vol.:  0.500 ||ch.:  3.000 ||r.:10000000000.000 
 It.:   92 ||Obj.:  0.005326 ||Vol.:  0.500 ||ch.:  3.000 ||r.:10000000000.000 
 It.:   93 ||Obj.:  0.005321 ||Vol.:  0.500 ||ch.:  5.000 ||r.:10000000000.000 
 It.:   94 ||Obj.:  0.005315 ||Vol.:  0.500 ||ch.:  4.000 ||r.:10000000000.000 
 It.:   95 ||Obj.:  0.005309 ||Vol.:  0.500 ||ch.:  3.000 ||r.:10000000000.000 
 It.:   96 ||Obj.:  0.005304 ||Vol.:  0.500 ||ch.:  4.000 ||r.:10000000000.000 
 It.:   97 ||Obj.:  0.005298 ||Vol.:  0.500 ||ch.:  3.000 ||r.:10000000000.000 
 It.:   98 ||Obj.:  0.005293 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:   99 ||Obj.:  0.005289 ||Vol.:  0.500 ||ch.:  3.000 ||r.:10000000000.000 
