Displaying
Kapa:[10.000, 1.000]|q:[1.000, 100.000]|lambda:0.100000 | r:1000.000000 |gamma:0.000002
mesh:0.005000 | boundary condition:left_Dirichlet | continuation:0
 It.:    1 ||Obj.:1582.389375 ||Vol.:  0.200 ||ch.:113.200 || r.1000.000000000 
 It.:    2 ||Obj.:3348.107044 ||Vol.:  0.200 ||ch.:149.000 || r.1000.000000000 
 It.:    2 ||Obj.:3348.107044 ||Vol.:  0.200 ||ch.:149.000 || r.500.267290565 
 It.:    2 ||Obj.:3341.986478 ||Vol.:  0.200 ||ch.:149.000 || r.250.400935847 
 It.:    2 ||Obj.:3342.008691 ||Vol.:  0.200 ||ch.:149.000 || r.125.467758488 
 It.:    2 ||Obj.:3328.389491 ||Vol.:  0.200 ||ch.:149.000 || r.63.001169809 
 It.:    2 ||Obj.:3323.904647 ||Vol.:  0.200 ||ch.:149.000 || r.31.767875469 
 It.:    2 ||Obj.:3313.053793 ||Vol.:  0.200 ||ch.:148.000 || r.16.151228299 
 It.:    2 ||Obj.:3218.865111 ||Vol.:  0.200 ||ch.:148.000 || r.8.342904714 
 It.:    2 ||Obj.:2973.118699 ||Vol.:  0.200 ||ch.:147.000 || r.4.438742922 
 It.:    2 ||Obj.:2271.660959 ||Vol.:  0.200 ||ch.:139.000 || r.2.486662026 
 It.:    2 ||Obj.:1578.897197 ||Vol.:  0.200 ||ch.:116.000 || r.1.510621578 
 It.:    3 ||Obj.:1473.825878 ||Vol.:  0.200 ||ch.:112.000 || r.1.510621578 
 It.:    4 ||Obj.:3295.284072 ||Vol.:  0.200 ||ch.:163.000 || r.1000.000000000 
 It.:    4 ||Obj.:3292.643059 ||Vol.:  0.200 ||ch.:163.000 || r.500.291070297 
 It.:    4 ||Obj.:3283.368459 ||Vol.:  0.200 ||ch.:163.000 || r.250.436605446 
 It.:    4 ||Obj.:3268.361027 ||Vol.:  0.200 ||ch.:163.000 || r.125.509373021 
 It.:    4 ||Obj.:3262.688418 ||Vol.:  0.200 ||ch.:162.000 || r.63.045756808 
 It.:    4 ||Obj.:3248.887092 ||Vol.:  0.200 ||ch.:162.000 || r.31.813948701 
 It.:    4 ||Obj.:3208.821382 ||Vol.:  0.200 ||ch.:162.000 || r.16.198044648 
 It.:    4 ||Obj.:3064.218461 ||Vol.:  0.200 ||ch.:161.000 || r.8.390092621 
 It.:    4 ||Obj.:2718.927600 ||Vol.:  0.200 ||ch.:158.000 || r.4.486116608 
 It.:    4 ||Obj.:1956.048456 ||Vol.:  0.200 ||ch.:147.000 || r.2.534128602 
 It.:    4 ||Obj.:1516.468174 ||Vol.:  0.200 ||ch.:131.000 || r.1.558134598 
 It.:    4 ||Obj.:1367.361349 ||Vol.:  0.200 ||ch.: 77.000 || r.1.070137597 
 It.:    5 ||Obj.:3053.030091 ||Vol.:  0.200 ||ch.:153.000 || r.1000.000000000 
 It.:    5 ||Obj.:3051.307476 ||Vol.:  0.200 ||ch.:153.000 || r.500.336405410 
 It.:    5 ||Obj.:3049.550230 ||Vol.:  0.200 ||ch.:153.000 || r.250.504608114 
 It.:    5 ||Obj.:3050.031355 ||Vol.:  0.200 ||ch.:153.000 || r.125.588709467 
 It.:    5 ||Obj.:3033.408672 ||Vol.:  0.200 ||ch.:153.000 || r.63.130760143 
 It.:    5 ||Obj.:3027.410814 ||Vol.:  0.200 ||ch.:153.000 || r.31.901785481 
 It.:    5 ||Obj.:2937.300782 ||Vol.:  0.200 ||ch.:153.000 || r.16.287298150 
 It.:    5 ||Obj.:2786.124149 ||Vol.:  0.200 ||ch.:152.000 || r.8.480054485 
 It.:    5 ||Obj.:2390.772127 ||Vol.:  0.200 ||ch.:148.000 || r.4.576432652 
 It.:    5 ||Obj.:1669.824364 ||Vol.:  0.200 ||ch.:135.000 || r.2.624621736 
 It.:    5 ||Obj.:1263.112400 ||Vol.:  0.200 ||ch.: 92.000 || r.1.648716277 
 It.:    6 ||Obj.:1220.596943 ||Vol.:  0.200 ||ch.: 69.000 || r.1.648716277 
