Displaying
bc:left_up_down_bdc_left_down_qin | objectfunc:right_down | Vforce:0.00000 | delta_x:0.01000 | volfrac:0.30000
Emin:66.66667 | E0:13333.33333 | gamma:0.000000 | tau:0.01000 | lambda:1.00000 | w:4.00000 | gamma1:3.00000 | gamma2:1.50000
 It.:    2 ||Obj.:  0.227088 ||Vol.:  0.214 ||ch.:100.000 ||r.:1000.000 
 It.:    3 ||Obj.:  0.646288 ||Vol.:  0.300 ||ch.: 99.000 ||r.:1000.000 
 It.:    4 ||Obj.:  0.643895 ||Vol.:  0.300 ||ch.: 99.000 ||r.:500.199 
 It.:    5 ||Obj.:  0.643816 ||Vol.:  0.300 ||ch.: 99.000 ||r.:250.299 
 It.:    6 ||Obj.:  0.638102 ||Vol.:  0.300 ||ch.: 99.000 ||r.:125.348 
 It.:    7 ||Obj.:  0.627414 ||Vol.:  0.300 ||ch.: 99.000 ||r.: 62.873 
 It.:    8 ||Obj.:  0.602908 ||Vol.:  0.300 ||ch.: 99.000 ||r.: 31.636 
 It.:    9 ||Obj.:  0.541097 ||Vol.:  0.300 ||ch.: 99.000 ||r.: 16.017 
 It.:   10 ||Obj.:  0.429410 ||Vol.:  0.300 ||ch.: 98.000 ||r.:  8.207 
 It.:   11 ||Obj.:  0.214730 ||Vol.:  0.300 ||ch.: 92.000 ||r.:  4.303 
 It.:   12 ||Obj.:  0.512332 ||Vol.:  0.300 ||ch.: 68.000 ||r.:  4.303 
 It.:   13 ||Obj.:  0.379582 ||Vol.:  0.300 ||ch.: 53.000 ||r.:  2.355 
 It.:   14 ||Obj.:  0.109791 ||Vol.:  0.300 ||ch.: 31.000 ||r.:  1.381 
 It.:   15 ||Obj.:  0.902404 ||Vol.:  0.300 ||ch.: 84.000 ||r.:1000.000 
 It.:   16 ||Obj.:  0.902247 ||Vol.:  0.300 ||ch.: 84.000 ||r.:500.232 
 It.:   17 ||Obj.:  0.902350 ||Vol.:  0.300 ||ch.: 84.000 ||r.:250.347 
 It.:   18 ||Obj.:  0.902349 ||Vol.:  0.300 ||ch.: 84.000 ||r.:125.405 
 It.:   19 ||Obj.:  0.903092 ||Vol.:  0.300 ||ch.: 84.000 ||r.: 62.934 
 It.:   20 ||Obj.:  0.899993 ||Vol.:  0.300 ||ch.: 84.000 ||r.: 31.699 
 It.:   21 ||Obj.:  0.237361 ||Vol.:  0.300 ||ch.: 70.000 ||r.: 16.081 
 It.:   22 ||Obj.:  0.070447 ||Vol.:  0.300 ||ch.: 55.000 ||r.:  8.272 
 It.:   23 ||Obj.:  0.016102 ||Vol.:  0.300 ||ch.: 55.000 ||r.:  8.272 
 It.:   24 ||Obj.:  0.007161 ||Vol.:  0.300 ||ch.: 26.000 ||r.:  8.272 
 It.:   25 ||Obj.:  0.002424 ||Vol.:  0.300 ||ch.: 19.000 ||r.:  8.272 
 It.:   26 ||Obj.:  0.118269 ||Vol.:  0.300 ||ch.: 87.000 ||r.:1000.000 
 It.:   27 ||Obj.:  0.077490 ||Vol.:  0.300 ||ch.: 75.000 ||r.:504.337 
 It.:   28 ||Obj.:  0.002426 ||Vol.:  0.300 ||ch.: 59.000 ||r.:256.505 
 It.:   29 ||Obj.:  0.002388 ||Vol.:  0.300 ||ch.: 46.000 ||r.:132.589 
 It.:   30 ||Obj.:  0.001276 ||Vol.:  0.300 ||ch.: 34.000 ||r.:132.589 
 It.:   31 ||Obj.:  0.000407 ||Vol.:  0.300 ||ch.: 26.000 ||r.:132.589 
 It.:   32 ||Obj.:  0.000313 ||Vol.:  0.300 ||ch.: 19.000 ||r.:132.589 
 It.:   33 ||Obj.:  0.000160 ||Vol.:  0.300 ||ch.: 14.000 ||r.:132.589 
 It.:   34 ||Obj.:  0.000138 ||Vol.:  0.300 ||ch.:  8.000 ||r.:132.589 
 It.:   35 ||Obj.: -0.000024 ||Vol.:  0.300 ||ch.: 34.000 ||r.:1000.000 
 It.:   36 ||Obj.: -0.000379 ||Vol.:  0.300 ||ch.: 27.000 ||r.:1000.000 
 It.:   37 ||Obj.: -0.000500 ||Vol.:  0.300 ||ch.: 29.000 ||r.:1000.000 
 It.:   38 ||Obj.: -0.000727 ||Vol.:  0.300 ||ch.: 22.000 ||r.:1000.000 
 It.:   39 ||Obj.: -0.000899 ||Vol.:  0.300 ||ch.: 21.000 ||r.:1000.000 
 It.:   40 ||Obj.: -0.001008 ||Vol.:  0.300 ||ch.:  9.000 ||r.:1000.000 
 It.:   41 ||Obj.: -0.001058 ||Vol.:  0.300 ||ch.:  7.000 ||r.:1000.000 
 It.:   42 ||Obj.: -0.001146 ||Vol.:  0.300 ||ch.:  8.000 ||r.:1000.000 
 It.:   43 ||Obj.: -0.001165 ||Vol.:  0.300 ||ch.: 12.000 ||r.:1000.000 
 It.:   44 ||Obj.: -0.001248 ||Vol.:  0.300 ||ch.:  7.000 ||r.:1000.000 
 It.:   45 ||Obj.: -0.001294 ||Vol.:  0.300 ||ch.:  6.000 ||r.:1000.000 
 It.:   46 ||Obj.: -0.001345 ||Vol.:  0.300 ||ch.:  5.000 ||r.:1000.000 
 It.:   47 ||Obj.: -0.001382 ||Vol.:  0.300 ||ch.:  4.000 ||r.:1000.000 
 It.:   48 ||Obj.: -0.001426 ||Vol.:  0.300 ||ch.:  3.000 ||r.:1000.000 
 It.:   49 ||Obj.: -0.001479 ||Vol.:  0.300 ||ch.:  3.000 ||r.:1000.000 
 It.:   50 ||Obj.: -0.001512 ||Vol.:  0.300 ||ch.:  2.000 ||r.:1000.000 
 It.:   51 ||Obj.: -0.001520 ||Vol.:  0.300 ||ch.:  3.000 ||r.:1000.000 
 It.:   52 ||Obj.: -0.001562 ||Vol.:  0.300 ||ch.:  2.000 ||r.:1000.000 
 It.:   53 ||Obj.: -0.001585 ||Vol.:  0.300 ||ch.:  2.000 ||r.:1000.000 
