Displaying
bc:left_down_bdc_right_down_qin | objectfunc:left_up | Vforce:1.00000 | delta_x:0.00500 | volfrac:0.20000
Emin:66.66667 | E0:13333.33333 | gamma:0.000000 | tau:0.00500 | lambda:1.00000 | w:4.00000 | gamma1:3.00000 | gamma2:1.50000
 It.:    2 ||Obj.: 33.277940 ||Vol.:  0.200 ||ch.: 94.600 ||r.:100000.000 
 It.:    3 ||Obj.: 31.406753 ||Vol.:  0.200 ||ch.: 39.000 ||r.:100000.000 
 It.:    4 ||Obj.: 25.258184 ||Vol.:  0.200 ||ch.: 45.000 ||r.:100000.000 
 It.:    5 ||Obj.: 20.244375 ||Vol.:  0.200 ||ch.: 31.000 ||r.:100000.000 
 It.:    6 ||Obj.: 19.190234 ||Vol.:  0.200 ||ch.:  9.000 ||r.:100000.000 
 It.:    7 ||Obj.:  3.175003 ||Vol.:  0.200 ||ch.: 13.000 ||r.:100000.000 
 It.:    8 ||Obj.:  3.104690 ||Vol.:  0.200 ||ch.:  1.000 ||r.:100000.000 
 It.:    9 ||Obj.: -2.047615 ||Vol.:  0.200 ||ch.: 43.000 ||r.:100000.000 
 It.:   10 ||Obj.: -4.835145 ||Vol.:  0.200 ||ch.: 60.000 ||r.:100000.000 
 It.:   11 ||Obj.: -5.433207 ||Vol.:  0.200 ||ch.: 41.000 ||r.:100000.000 
 It.:   12 ||Obj.: -5.502848 ||Vol.:  0.162 ||ch.: 40.000 ||r.:100000.000 
 It.:   13 ||Obj.: -6.687280 ||Vol.:  0.200 ||ch.: 19.000 ||r.:100000.000 
 It.:   14 ||Obj.: -7.069763 ||Vol.:  0.200 ||ch.: 16.000 ||r.:100000.000 
 It.:   15 ||Obj.: -7.339140 ||Vol.:  0.200 ||ch.: 14.000 ||r.:100000.000 
 It.:   16 ||Obj.: -7.523937 ||Vol.:  0.200 ||ch.: 11.000 ||r.:100000.000 
 It.:   17 ||Obj.: -7.650943 ||Vol.:  0.200 ||ch.: 12.000 ||r.:100000.000 
 It.:   18 ||Obj.: -7.762358 ||Vol.:  0.200 ||ch.: 13.000 ||r.:100000.000 
 It.:   19 ||Obj.: -7.863361 ||Vol.:  0.200 ||ch.: 20.000 ||r.:100000.000 
 It.:   20 ||Obj.: -7.935509 ||Vol.:  0.200 ||ch.: 12.000 ||r.:100000.000 
 It.:   21 ||Obj.: -8.000817 ||Vol.:  0.200 ||ch.: 11.000 ||r.:100000.000 
 It.:   22 ||Obj.: -8.054714 ||Vol.:  0.200 ||ch.:  8.000 ||r.:100000.000 
 It.:   23 ||Obj.: -8.097460 ||Vol.:  0.200 ||ch.:  6.000 ||r.:100000.000 
 It.:   24 ||Obj.: -8.136269 ||Vol.:  0.200 ||ch.:  3.000 ||r.:100000.000 
 It.:   25 ||Obj.: -8.168906 ||Vol.:  0.200 ||ch.:  4.000 ||r.:100000.000 
 It.:   26 ||Obj.: -8.177297 ||Vol.:  0.199 ||ch.:  2.000 ||r.:100000.000 
 It.:   27 ||Obj.: -8.188188 ||Vol.:  0.199 ||ch.:  2.000 ||r.:100000.000 
 It.:   28 ||Obj.: -8.197592 ||Vol.:  0.198 ||ch.:  2.000 ||r.:100000.000 
 It.:   29 ||Obj.: -8.203903 ||Vol.:  0.197 ||ch.:  2.000 ||r.:100000.000 
 It.:   30 ||Obj.: -8.206457 ||Vol.:  0.197 ||ch.:  2.000 ||r.:100000.000 
 It.:   31 ||Obj.: -8.210081 ||Vol.:  0.196 ||ch.:  1.000 ||r.:100000.000 
 It.:   32 ||Obj.: -8.212144 ||Vol.:  0.196 ||ch.:  1.000 ||r.:100000.000 
 It.:   33 ||Obj.: -8.214880 ||Vol.:  0.196 ||ch.:  2.000 ||r.:100000.000 
 It.:   34 ||Obj.: -8.217069 ||Vol.:  0.196 ||ch.:  2.000 ||r.:100000.000 
 It.:   35 ||Obj.: -8.222585 ||Vol.:  0.195 ||ch.:  2.000 ||r.:100000.000 
 It.:   36 ||Obj.: -8.224110 ||Vol.:  0.196 ||ch.:  2.000 ||r.:100000.000 
 It.:   37 ||Obj.: -8.235481 ||Vol.:  0.195 ||ch.:  2.000 ||r.:100000.000 
 It.:   38 ||Obj.: -8.241398 ||Vol.:  0.195 ||ch.:  1.000 ||r.:100000.000 
 It.:   39 ||Obj.: -8.246819 ||Vol.:  0.195 ||ch.:  2.000 ||r.:100000.000 
 It.:   40 ||Obj.: -8.250847 ||Vol.:  0.195 ||ch.:  2.000 ||r.:100000.000 
 It.:   41 ||Obj.: -8.254122 ||Vol.:  0.194 ||ch.:  1.000 ||r.:100000.000 
 It.:   42 ||Obj.: -8.257332 ||Vol.:  0.194 ||ch.:  1.000 ||r.:100000.000 
 It.:   43 ||Obj.: -8.258867 ||Vol.:  0.194 ||ch.:  1.000 ||r.:100000.000 
 It.:   44 ||Obj.: -8.260923 ||Vol.:  0.194 ||ch.:  1.000 ||r.:100000.000 
 It.:   45 ||Obj.: -8.264218 ||Vol.:  0.194 ||ch.:  1.000 ||r.:100000.000 
 It.:   46 ||Obj.: -8.270470 ||Vol.:  0.194 ||ch.:  1.000 ||r.:100000.000 
 It.:   47 ||Obj.: -8.271442 ||Vol.:  0.194 ||ch.:  1.000 ||r.:100000.000 
 It.:   48 ||Obj.: -8.279371 ||Vol.:  0.194 ||ch.:  2.000 ||r.:100000.000 
 It.:   49 ||Obj.: -8.287407 ||Vol.:  0.194 ||ch.:  1.000 ||r.:100000.000 
 It.:   50 ||Obj.: -8.296631 ||Vol.:  0.194 ||ch.:  3.000 ||r.:100000.000 
 It.:   51 ||Obj.: -8.301202 ||Vol.:  0.194 ||ch.:  2.000 ||r.:100000.000 
 It.:   52 ||Obj.: -8.304423 ||Vol.:  0.194 ||ch.:  1.000 ||r.:100000.000 
 It.:   53 ||Obj.: -8.306088 ||Vol.:  0.193 ||ch.:  1.000 ||r.:100000.000 
 It.:   54 ||Obj.: -8.308034 ||Vol.:  0.193 ||ch.:  1.000 ||r.:100000.000 
 It.:   55 ||Obj.: -8.310364 ||Vol.:  0.193 ||ch.:  1.000 ||r.:100000.000 
 It.:   56 ||Obj.: -8.312434 ||Vol.:  0.193 ||ch.:  2.000 ||r.:100000.000 
 It.:   57 ||Obj.: -8.313751 ||Vol.:  0.193 ||ch.:  1.000 ||r.:100000.000 
 It.:   58 ||Obj.: -8.314854 ||Vol.:  0.193 ||ch.:  1.000 ||r.:100000.000 
 It.:   59 ||Obj.: -8.315953 ||Vol.:  0.193 ||ch.:  1.000 ||r.:100000.000 
 It.:   60 ||Obj.: -8.317054 ||Vol.:  0.193 ||ch.:  1.000 ||r.:100000.000 
 It.:   61 ||Obj.: -8.318161 ||Vol.:  0.193 ||ch.:  1.000 ||r.:100000.000 
 It.:   62 ||Obj.: -8.320377 ||Vol.:  0.193 ||ch.:  1.000 ||r.:100000.000 
 It.:   63 ||Obj.: -8.322605 ||Vol.:  0.193 ||ch.:  1.000 ||r.:100000.000 
