Displaying
bc:left_down_bdc_right_down_qin | objectfunc:left_up | Vforce:0.00000 | delta_x:0.00500 | volfrac:0.18000
Emin:66.66667 | E0:13333.33333 | gamma:0.000000 | tau:0.00500 | lambda:1.00000 | w:4.00000 | gamma1:3.00000 | gamma2:1.50000
 It.:    2 ||Obj.: 36.348056 ||Vol.:  0.180 ||ch.: 91.680 ||r.:1000.000 
 It.:    3 ||Obj.: 35.443251 ||Vol.:  0.180 ||ch.: 15.000 ||r.:1000.000 
 It.:    4 ||Obj.: 33.865940 ||Vol.:  0.180 ||ch.: 21.000 ||r.:1000.000 
 It.:    5 ||Obj.: 30.882691 ||Vol.:  0.180 ||ch.: 32.000 ||r.:1000.000 
 It.:    6 ||Obj.: 23.248900 ||Vol.:  0.180 ||ch.: 25.000 ||r.:1000.000 
 It.:    7 ||Obj.:  2.155038 ||Vol.:  0.180 ||ch.: 35.000 ||r.:1000.000 
 It.:    8 ||Obj.: -1.554941 ||Vol.:  0.180 ||ch.: 35.000 ||r.:1000.000 
 It.:    9 ||Obj.: -3.980689 ||Vol.:  0.180 ||ch.: 30.000 ||r.:1000.000 
 It.:   10 ||Obj.: -5.053940 ||Vol.:  0.180 ||ch.: 59.000 ||r.:1000.000 
 It.:   11 ||Obj.: -6.175647 ||Vol.:  0.180 ||ch.: 29.000 ||r.:1000.000 
 It.:   12 ||Obj.: -7.276495 ||Vol.:  0.180 ||ch.: 25.000 ||r.:1000.000 
 It.:   13 ||Obj.: -7.513116 ||Vol.:  0.180 ||ch.: 20.000 ||r.:1000.000 
 It.:   14 ||Obj.: -7.743082 ||Vol.:  0.180 ||ch.: 10.000 ||r.:1000.000 
 It.:   15 ||Obj.: -7.952354 ||Vol.:  0.180 ||ch.:  7.000 ||r.:1000.000 
 It.:   16 ||Obj.: -8.016128 ||Vol.:  0.180 ||ch.:  9.000 ||r.:1000.000 
 It.:   17 ||Obj.: -8.038111 ||Vol.:  0.180 ||ch.:  2.000 ||r.:1000.000 
 It.:   18 ||Obj.: -8.050760 ||Vol.:  0.180 ||ch.:  2.000 ||r.:1000.000 
 It.:   19 ||Obj.: -8.063082 ||Vol.:  0.180 ||ch.:  1.000 ||r.:1000.000 
 It.:   20 ||Obj.: -8.067471 ||Vol.:  0.180 ||ch.:  1.000 ||r.:1000.000 
 It.:   21 ||Obj.: -8.070240 ||Vol.:  0.180 ||ch.:  1.000 ||r.:1000.000 
 It.:   22 ||Obj.: -8.076862 ||Vol.:  0.180 ||ch.:  1.000 ||r.:1000.000 
 It.:   23 ||Obj.: -8.081587 ||Vol.:  0.180 ||ch.:  2.000 ||r.:1000.000 
 It.:   24 ||Obj.: -8.240372 ||Vol.:  0.180 ||ch.: 38.000 ||r.:236813182043003260.000 
 It.:   25 ||Obj.: -8.335355 ||Vol.:  0.180 ||ch.: 39.000 ||r.:236813182043003260.000 
 It.:   26 ||Obj.: -8.409765 ||Vol.:  0.180 ||ch.: 27.000 ||r.:236813182043003260.000 
 It.:   27 ||Obj.: -8.467472 ||Vol.:  0.180 ||ch.: 23.000 ||r.:236813182043003260.000 
 It.:   28 ||Obj.: -8.517129 ||Vol.:  0.180 ||ch.: 25.000 ||r.:236813182043003260.000 
 It.:   29 ||Obj.: -8.551211 ||Vol.:  0.180 ||ch.: 12.000 ||r.:236813182043003260.000 
 It.:   30 ||Obj.: -8.578009 ||Vol.:  0.180 ||ch.: 12.000 ||r.:236813182043003260.000 
 It.:   31 ||Obj.: -8.599517 ||Vol.:  0.180 ||ch.:  5.000 ||r.:236813182043003260.000 
 It.:   32 ||Obj.: -8.619198 ||Vol.:  0.180 ||ch.:  5.000 ||r.:236813182043003260.000 
 It.:   33 ||Obj.: -8.639968 ||Vol.:  0.180 ||ch.: 11.000 ||r.:236813182043003260.000 
 It.:   34 ||Obj.: -8.648081 ||Vol.:  0.180 ||ch.: 33.000 ||r.:236813182043003260.000 
 It.:   35 ||Obj.: -8.623507 ||Vol.:  0.180 ||ch.: 21.000 ||r.:236813182043003260.000 
