Displaying
bc:left_down_bdc_right_down_qin | objectfunc:left_up | Vforce:0.00000 | delta_x:0.00500 | volfrac:0.20000
Emin:66.66667 | E0:13333.33333 | gamma:0.000000 | tau:0.00500 | lambda:1.00000
 It.:    1 ||Obj.:112.017947 ||objxPhy.:12933.636688 ||Vol.:  0.200 ||ch.: 92.800
 It.:    2 ||Obj.: 32.266397 ||objxPhy.: 77.743440 ||Vol.:  0.200 ||ch.: 31.000
 It.:    3 ||Obj.: 30.755695 ||objxPhy.:344.177241 ||Vol.:  0.200 ||ch.: 38.000
 It.:    4 ||Obj.: 26.326591 ||objxPhy.:1180.971888 ||Vol.:  0.200 ||ch.: 45.000
 It.:    5 ||Obj.:  6.132860 ||objxPhy.:214.166392 ||Vol.:  0.200 ||ch.: 51.000
 It.:    6 ||Obj.: -0.051017 ||objxPhy.:-13.245478 ||Vol.:  0.200 ||ch.: 54.000
 It.:    7 ||Obj.: -3.270475 ||objxPhy.:-24.307663 ||Vol.:  0.200 ||ch.: 37.000
 It.:    8 ||Obj.: -3.731314 ||objxPhy.:-29.659844 ||Vol.:  0.200 ||ch.: 32.000
 It.:    9 ||Obj.: -4.335739 ||objxPhy.:-33.202588 ||Vol.:  0.200 ||ch.: 29.000
 It.:   10 ||Obj.: -4.870558 ||objxPhy.:-35.368164 ||Vol.:  0.200 ||ch.: 26.000
 It.:   11 ||Obj.: -4.965034 ||objxPhy.:-35.467011 ||Vol.:  0.200 ||ch.: 24.000
 It.:   12 ||Obj.: -5.182105 ||objxPhy.:-36.848583 ||Vol.:  0.200 ||ch.: 16.000
 It.:   13 ||Obj.: -5.345657 ||objxPhy.:-36.248600 ||Vol.:  0.200 ||ch.:  7.000
 It.:   14 ||Obj.: -5.425871 ||objxPhy.:-36.429209 ||Vol.:  0.200 ||ch.: 19.000
 It.:   15 ||Obj.: -5.476839 ||objxPhy.:-36.636183 ||Vol.:  0.200 ||ch.: 17.000
 It.:   16 ||Obj.: -5.517936 ||objxPhy.:-36.384116 ||Vol.:  0.200 ||ch.:  6.000
 It.:   17 ||Obj.: -5.553990 ||objxPhy.:-36.965568 ||Vol.:  0.200 ||ch.: 13.000
 It.:   18 ||Obj.: -5.595352 ||objxPhy.:-36.500111 ||Vol.:  0.200 ||ch.: 12.000
 It.:   19 ||Obj.: -5.617625 ||objxPhy.:-36.315715 ||Vol.:  0.200 ||ch.: 11.000
 It.:   20 ||Obj.: -5.643288 ||objxPhy.:-36.631304 ||Vol.:  0.200 ||ch.: 10.000
 It.:   21 ||Obj.: -5.657332 ||objxPhy.:-36.551697 ||Vol.:  0.200 ||ch.:  7.000
 It.:   22 ||Obj.: -5.668289 ||objxPhy.:-36.536048 ||Vol.:  0.200 ||ch.:  8.000
 It.:   23 ||Obj.: -5.682245 ||objxPhy.:-36.613695 ||Vol.:  0.200 ||ch.: 12.000
 It.:   24 ||Obj.: -5.694494 ||objxPhy.:-36.602643 ||Vol.:  0.200 ||ch.:  7.000
 It.:   25 ||Obj.: -5.707218 ||objxPhy.:-36.622591 ||Vol.:  0.200 ||ch.: 14.000
 It.:   26 ||Obj.: -5.713159 ||objxPhy.:-36.623349 ||Vol.:  0.200 ||ch.:  1.000
 It.:   27 ||Obj.: -5.717063 ||objxPhy.:-36.640498 ||Vol.:  0.200 ||ch.:  2.000
 It.:   28 ||Obj.: -5.719974 ||objxPhy.:-36.407312 ||Vol.:  0.200 ||ch.:  2.000
 It.:   29 ||Obj.: -5.718274 ||objxPhy.:-36.959704 ||Vol.:  0.200 ||ch.:  2.000
 It.:   30 ||Obj.: -5.731692 ||objxPhy.:-36.379874 ||Vol.:  0.200 ||ch.:  3.000
 sharp interface energy:   -5.730481
--------------------------------------
--------------------------------------
