Displaying
bc:left_down_bdc_right_down_qin | objectfunc:left_up | Vforce:0.00000 | delta_x:0.00500 | volfrac:0.20000
Emin:66.66667 | E0:13333.33333 | gamma:0.000000 | tau:0.00500 | lambda:1.00000 | w=3
 It.:    1 ||Obj.:105.838618 ||objxPhy.:12161.875751 ||Vol.:  0.200 ||ch.: 91.000
 It.:    2 ||Obj.: 31.111383 ||objxPhy.: 57.378421 ||Vol.:  0.200 ||ch.: 27.000
 It.:    3 ||Obj.: 29.874911 ||objxPhy.:196.755127 ||Vol.:  0.200 ||ch.: 31.000
 It.:    4 ||Obj.: 27.041537 ||objxPhy.:640.839724 ||Vol.:  0.200 ||ch.: 40.000
 It.:    5 ||Obj.: 16.861572 ||objxPhy.:1393.706338 ||Vol.:  0.200 ||ch.: 55.000
 It.:    6 ||Obj.:  3.181758 ||objxPhy.: 26.456858 ||Vol.:  0.200 ||ch.: 57.000
 It.:    7 ||Obj.:  0.860717 ||objxPhy.: 24.278650 ||Vol.:  0.200 ||ch.: 42.000
 It.:    8 ||Obj.: -1.038795 ||objxPhy.:-16.834159 ||Vol.:  0.200 ||ch.: 31.000
 It.:    9 ||Obj.: -1.715495 ||objxPhy.:-21.499830 ||Vol.:  0.200 ||ch.: 25.000
 It.:   10 ||Obj.: -2.030918 ||objxPhy.:-22.933948 ||Vol.:  0.200 ||ch.: 26.000
 It.:   11 ||Obj.: -2.126586 ||objxPhy.:-23.679738 ||Vol.:  0.200 ||ch.: 18.000
 It.:   12 ||Obj.: -2.393406 ||objxPhy.:-23.308820 ||Vol.:  0.200 ||ch.: 11.000
 It.:   13 ||Obj.: -2.484619 ||objxPhy.:-23.970769 ||Vol.:  0.200 ||ch.:  8.000
 It.:   14 ||Obj.: -2.582974 ||objxPhy.:-23.334363 ||Vol.:  0.200 ||ch.: 15.000
 It.:   15 ||Obj.: -2.627368 ||objxPhy.:-23.368746 ||Vol.:  0.200 ||ch.: 14.000
 It.:   16 ||Obj.: -2.661819 ||objxPhy.:-23.503295 ||Vol.:  0.200 ||ch.: 12.000
 It.:   17 ||Obj.: -2.685706 ||objxPhy.:-23.318170 ||Vol.:  0.200 ||ch.: 11.000
 It.:   18 ||Obj.: -2.704774 ||objxPhy.:-23.358201 ||Vol.:  0.200 ||ch.:  8.000
 It.:   19 ||Obj.: -2.722086 ||objxPhy.:-23.108507 ||Vol.:  0.200 ||ch.:  8.000
 It.:   20 ||Obj.: -2.733679 ||objxPhy.:-23.229724 ||Vol.:  0.200 ||ch.:  3.000
 It.:   21 ||Obj.: -2.746725 ||objxPhy.:-23.131939 ||Vol.:  0.200 ||ch.:  3.000
 It.:   22 ||Obj.: -2.755944 ||objxPhy.:-23.290767 ||Vol.:  0.200 ||ch.:  3.000
 It.:   23 ||Obj.: -2.766570 ||objxPhy.:-23.338526 ||Vol.:  0.200 ||ch.:  3.000
 It.:   24 ||Obj.: -2.776861 ||objxPhy.:-23.154365 ||Vol.:  0.200 ||ch.:  7.000
 It.:   25 ||Obj.: -2.783153 ||objxPhy.:-23.178419 ||Vol.:  0.200 ||ch.:  3.000
 It.:   26 ||Obj.: -2.788793 ||objxPhy.:-23.191724 ||Vol.:  0.200 ||ch.:  2.000
 It.:   27 ||Obj.: -2.796820 ||objxPhy.:-23.177910 ||Vol.:  0.200 ||ch.:  2.000
 It.:   28 ||Obj.: -2.804899 ||objxPhy.:-23.154560 ||Vol.:  0.200 ||ch.:  3.000
 It.:   29 ||Obj.: -2.810697 ||objxPhy.:-23.250073 ||Vol.:  0.200 ||ch.:  2.000
 It.:   30 ||Obj.: -2.814172 ||objxPhy.:-23.257905 ||Vol.:  0.200 ||ch.:  2.000
 It.:   31 ||Obj.: -2.816589 ||objxPhy.:-23.097232 ||Vol.:  0.200 ||ch.:  2.000
 It.:   32 ||Obj.: -2.818289 ||objxPhy.:-23.433762 ||Vol.:  0.200 ||ch.:  2.000
 It.:   33 ||Obj.: -2.821781 ||objxPhy.:-23.158182 ||Vol.:  0.200 ||ch.:  2.000
 It.:   34 ||Obj.: -2.821874 ||objxPhy.:-23.431596 ||Vol.:  0.200 ||ch.:  2.000
 It.:   35 ||Obj.: -2.836063 ||objxPhy.:-23.265028 ||Vol.:  0.200 ||ch.:  5.000
 It.:   36 ||Obj.: -2.842520 ||objxPhy.:-23.256152 ||Vol.:  0.200 ||ch.:  2.000
 It.:   37 ||Obj.: -2.846775 ||objxPhy.:-23.174221 ||Vol.:  0.200 ||ch.:  2.000
 It.:   38 ||Obj.: -2.852851 ||objxPhy.:-23.151913 ||Vol.:  0.200 ||ch.:  2.000
 It.:   39 ||Obj.: -2.858863 ||objxPhy.:-23.282873 ||Vol.:  0.200 ||ch.:  3.000
 It.:   40 ||Obj.: -2.866357 ||objxPhy.:-23.466152 ||Vol.:  0.200 ||ch.:  2.000
 It.:   41 ||Obj.: -2.871833 ||objxPhy.:-23.399242 ||Vol.:  0.200 ||ch.:  2.000
 It.:   42 ||Obj.: -2.874682 ||objxPhy.:-23.389633 ||Vol.:  0.200 ||ch.:  1.000
 It.:   43 ||Obj.: -2.877356 ||objxPhy.:-23.376840 ||Vol.:  0.200 ||ch.:  2.000
 It.:   44 ||Obj.: -2.881245 ||objxPhy.:-23.468797 ||Vol.:  0.200 ||ch.:  2.000
